Medida,H,p_valor,eta_cuadrado,Tamaño_efecto,Significativo
Sample Entropy,12.705882352941181,0.001741617192416997,0.8235294117647063,Grande,True
Sample Entropy (Norm),12.705882352941181,0.001741617192416997,0.8235294117647063,Grande,True
Permutation Entropy,7.825367647058826,0.019986788003818565,0.4481052036199097,Grande,True
Permutation Entropy (Norm),7.825367647058826,0.019986788003818565,0.4481052036199097,Grande,True
