Meditador,Grupo_Meditador,Control,Ventana,Med_Nodos,Med_Aristas,Med_Densidad,Med_Grado_Promedio,Med_Clustering_Promedio,Med_Longitud_Camino_Promedio,Med_Diametro,Med_Asortatividad,Med_Transitividad,Med_Betweenness_Promedio,Med_Closeness_Promedio,Ctrl_Nodos,Ctrl_Aristas,Ctrl_Densidad,Ctrl_Grado_Promedio,Ctrl_Clustering_Promedio,Ctrl_Longitud_Camino_Promedio,Ctrl_Diametro,Ctrl_Asortatividad,Ctrl_Transitividad,Ctrl_Betweenness_Promedio,Ctrl_Closeness_Promedio,Diff_Nodos,DiffRel_Nodos,Diff_Aristas,DiffRel_Aristas,Diff_Densidad,DiffRel_Densidad,Diff_Grado_Promedio,DiffRel_Grado_Promedio,Diff_Clustering_Promedio,DiffRel_Clustering_Promedio,Diff_Longitud_Camino_Promedio,DiffRel_Longitud_Camino_Promedio,Diff_Diametro,DiffRel_Diametro,Diff_Asortatividad,DiffRel_Asortatividad,Diff_Transitividad,DiffRel_Transitividad,Diff_Betweenness_Promedio,DiffRel_Betweenness_Promedio,Diff_Closeness_Promedio,DiffRel_Closeness_Promedio
taichi1,TaiChi,sleep1,1,650,3147,0.01491999525897831,9.683076923076923,0.7011391865439125,4.736792698826597,9,0.15552101285294023,0.5084772830108328,0.005766655399423764,0.21630394741768222,650,2197,0.010416024653312789,6.76,0.7409350459778815,4.063382718975939,8,0.11801108814314204,0.364357063580149,0.004727442467555453,0.2518873404244411,0,0.0,950,43.2407828857533,0.004503970605665521,43.2407828857533,2.9230769230769234,43.240782885753305,-0.039795859433969016,-5.371032137027165,0.6734099798506579,16.57264467621627,1,12.5,0.03750992470979819,31.785085028874892,0.14412021943068382,39.55466596820378,0.0010392129318683111,21.982561162837065,-0.03558339300675889,-14.1267095626161
taichi1,TaiChi,sleep2,1,650,3147,0.01491999525897831,9.683076923076923,0.7011391865439125,4.736792698826597,9,0.15552101285294023,0.5084772830108328,0.005766655399423764,0.21630394741768222,650,2050,0.009719094464857176,6.3076923076923075,0.7430529731730431,4.7325637074789615,10,0.18616579679839776,0.4252860793245195,0.00576012917820828,0.21608714678167365,0,0.0,1097,53.51219512195122,0.005200900794121133,53.51219512195122,3.3753846153846156,53.51219512195122,-0.04191378662913059,-5.640753505116472,0.004228991347635436,0.08935941720028574,-1,-10.0,-0.030644783945457527,-16.461017261212223,0.08319120368631333,19.56123365675304,6.526221215484053e-06,0.11329991070641353,0.00021680063600856836,0.10033018587061802
taichi1,TaiChi,sleep3,1,650,3147,0.01491999525897831,9.683076923076923,0.7011391865439125,4.736792698826597,9,0.15552101285294023,0.5084772830108328,0.005766655399423764,0.21630394741768222,650,2092,0.009918217375844494,6.436923076923077,0.748770804128424,4.513694441152068,9,0.1664398786278434,0.38438352231950623,0.005422367964740848,0.2263847614395437,0,0.0,1055,50.430210325047796,0.005001777883133815,50.430210325047796,3.246153846153846,50.430210325047796,-0.04763161758451151,-6.361308069423879,0.22309825767452907,4.942697397513374,0,0.0,-0.01091886577490317,-6.560246177130156,0.1240937606913266,32.283839833326084,0.00034428743468291594,6.349392680866699,-0.010080814021861478,-4.452956090224108
taichi1,TaiChi,sleep4,1,650,3147,0.01491999525897831,9.683076923076923,0.7011391865439125,4.736792698826597,9,0.15552101285294023,0.5084772830108328,0.005766655399423764,0.21630394741768222,650,2077,0.009847102050491881,6.390769230769231,0.7477703513653337,4.429825767452886,9,0.1976100120507964,0.39728868430370784,0.005292940999155692,0.23060239338001268,0,0.0,1070,51.51661049590756,0.005072893208486428,51.51661049590754,3.292307692307692,51.51661049590756,-0.046631164821421156,-6.23602750982017,0.30696693137371067,6.929548643404415,0,0.0,-0.042088999197856164,-21.299021623983823,0.111188598707125,27.98685265904194,0.00047371440026807224,8.949927844342819,-0.014298445962330458,-6.200475958967115
taichi1,TaiChi,sleep5,1,650,3147,0.01491999525897831,9.683076923076923,0.7011391865439125,4.736792698826597,9,0.15552101285294023,0.5084772830108328,0.005766655399423764,0.21630394741768222,650,1809,0.008576508237525187,5.5661538461538465,0.7173372276621541,5.141818181818182,10,0.2552821389253521,0.38501106914962885,0.006391694725028055,0.19841312638262248,0,0.0,1338,73.96351575456053,0.006343487021453122,73.96351575456052,4.116923076923077,73.96351575456053,-0.016198041118241635,-2.2580789750773205,-0.4050254829915847,-7.877086833287539,-1,-10.0,-0.09976112607241189,-39.0787724093707,0.12346621386120399,32.068224462715555,-0.0006250393256042909,-9.778929571789702,0.017890821035059734,9.016954352384348
taichi1,TaiChi,sleep6,1,650,3147,0.01491999525897831,9.683076923076923,0.7011391865439125,4.736792698826597,9,0.15552101285294023,0.5084772830108328,0.005766655399423764,0.21630394741768222,650,2032,0.00963375607443404,6.252307692307692,0.7305843970480042,4.798203152779424,10,0.219817540244217,0.4155622766015947,0.005861424618486754,0.21272280510764063,0,0.0,1115,54.87204724409449,0.005286239184544269,54.87204724409448,3.430769230769231,54.87204724409449,-0.029445210504091657,-4.030363996694678,-0.06141045395282685,-1.27986356553607,-1,-10.0,-0.06429652739127678,-29.249953083745467,0.09291500640923811,22.3588645170305,-9.476921906298973e-05,-1.616829102673956,0.003581142310041585,1.6834783220489586
taichi1,TaiChi,sleep7,1,650,3147,0.01491999525897831,9.683076923076923,0.7011391865439125,4.736792698826597,9,0.15552101285294023,0.5084772830108328,0.005766655399423764,0.21630394741768222,650,2201,0.010434988740073486,6.772307692307693,0.7615889327982014,4.737494370036743,10,0.1914006346079981,0.4652589295407665,0.005767738225365344,0.21557664342190985,0,0.0,946,42.980463425715584,0.004485006518904823,42.98046342571558,2.9107692307692306,42.980463425715584,-0.060449746254288894,-7.937319418782349,-0.0007016712101464151,-0.014811019398445702,-1,-10.0,-0.03587962175505788,-18.74582173070735,0.04321835347006636,9.289097043817087,-1.082825941580226e-06,-0.018773839922522437,0.0007273039957723659,0.33737606459942093
taichi1,TaiChi,sleep8,1,650,3147,0.01491999525897831,9.683076923076923,0.7011391865439125,4.736792698826597,9,0.15552101285294023,0.5084772830108328,0.005766655399423764,0.21630394741768222,650,1985,0.009410928054995852,6.107692307692307,0.7271203527326346,4.95782387104421,10,0.25669230670095455,0.4160752306600426,0.006107752887413897,0.20611333285881134,0,0.0,1162,58.539042821158695,0.005509067203982457,58.539042821158674,3.575384615384616,58.5390428211587,-0.02598116618872215,-3.5731589813269244,-0.22103117221761348,-4.458229617807302,-1,-10.0,-0.10117129384801432,-39.41344995815494,0.09240205235079024,22.208015652411675,-0.00034109748799013295,-5.584664184646772,0.01019061455887088,4.944180183555376
taichi2,TaiChi,sleep1,1,650,3124,0.014810951760104302,9.612307692307692,0.7269480799968253,4.215427284579827,9,0.12394382737323441,0.4724363776977548,0.004962079142870108,0.2424630237084695,650,2197,0.010416024653312789,6.76,0.7409350459778815,4.063382718975939,8,0.11801108814314204,0.364357063580149,0.004727442467555453,0.2518873404244411,0,0.0,927,42.19390077378243,0.004394927106791513,42.19390077378243,2.8523076923076918,42.193900773782424,-0.013986965981056199,-1.887745229083649,0.15204456560388824,3.7418224203652364,1,12.5,0.005932739230092368,5.027272710930542,0.1080793141176058,29.663021503034802,0.00023463667531465563,4.9632899167990425,-0.009424316715971603,-3.7414808938357997
taichi2,TaiChi,sleep2,1,650,3124,0.014810951760104302,9.612307692307692,0.7269480799968253,4.215427284579827,9,0.12394382737323441,0.4724363776977548,0.004962079142870108,0.2424630237084695,650,2050,0.009719094464857176,6.3076923076923075,0.7430529731730431,4.7325637074789615,10,0.18616579679839776,0.4252860793245195,0.00576012917820828,0.21608714678167365,0,0.0,1074,52.390243902439025,0.005091857295247125,52.390243902439025,3.304615384615384,52.39024390243902,-0.01610489317621777,-2.1673950253432666,-0.5171364228991342,-10.9271941142999,-1,-10.0,-0.06222196942516335,-33.42287922659855,0.04715029837323531,11.08672506942244,-0.0007980500353381714,-13.854724618978237,0.026375876926795855,12.206129480456813
