Metrica,Mediana_Meditadores,Mediana_Sleep,U_Statistic,P_Value,r_Effect,Direccion,Significativo
Densidad,0.01561929595827901,0.009496266445418988,30.0,0.021396137331707126,0.6864064729836442,Med > Sleep,✓
Grado_Promedio,10.136923076923077,6.163076923076924,30.0,0.021396137331707126,0.6864064729836442,Med > Sleep,✓
Clustering_Promedio,0.7410282951462446,0.7291361368200178,18.0,0.7982150758934403,0.09805806756909202,Med > Sleep,✗
Longitud_Camino_Promedio,4.360161194737466,4.602600450397061,14.0,0.7982150758934403,0.09805806756909202,Sleep > Med,✗
Asortatividad,0.13299515372156775,0.18664661353424708,12.0,0.5508179539361482,0.19611613513818404,Sleep > Med,✗
Transitividad,0.5118952311122135,0.37468406636488893,32.0,0.008246737899860709,0.7844645405527362,Med > Sleep,✓
Betweenness_Promedio,0.005185433942496084,0.005559568596291754,14.0,0.7982150758934403,0.09805806756909202,Sleep > Med,✗
Closeness_Promedio,0.2344696232014572,0.2251502334035318,18.0,0.7982150758934403,0.09805806756909202,Med > Sleep,✗
